symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
ETHUSDT,30m,ThirtyMinStrategy,short,1696273200.0,1664.67,1670.04342,1448.2629000000002,1,1696275000.0,1674.33,-9.659999999999854,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1696343400.0,1648.5,1667.8084599999997,1434.1950000000002,1,1698021000.0,1672.99,-24.49000000000001,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1698031800.0,1694.54,1666.00694,1914.8301999999999,1,1699495200.0,1919.32,224.77999999999997,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1699497000.0,1917.82,1908.65504,2167.1366,1,1699527600.0,1906.81,-11.009999999999991,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1699565400.0,2058.63,2050.45088,2326.2518999999998,1,1699666200.0,2048.44,-10.190000000000055,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1699680600.0,2055.66,2028.55602,2322.8958,1,1699983000.0,2023.95,-31.70999999999981,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,short,1699988400.0,1971.0,1983.2085,1714.7700000000002,1,1699992000.0,1986.0,-15.0,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1700082000.0,2043.38,2068.5872,1777.7406000000003,1,1700094600.0,2076.44,-33.059999999999945,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,short,1700123400.0,2042.0,2068.23615,1776.5400000000002,1,1700132400.0,2072.2,-30.199999999999818,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1700134200.0,2068.61,2060.0715999999998,2337.5293,1,1700136000.0,2047.84,-20.77000000000021,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1700137800.0,2048.61,2061.05388,1782.2907000000002,1,1700677800.0,2062.96,-14.349999999999909,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1700694000.0,2060.36,2096.184,1792.5132000000003,1,1700818200.0,2109.57,-49.210000000000036,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1700838000.0,2124.39,2091.95525,2400.5606999999995,1,1700850600.0,2091.28,-33.10999999999967,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,short,1700865000.0,2073.93,2102.2879999999996,1804.3191000000002,1,1701423000.0,2104.59,-30.66000000000031,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1701448200.0,2104.96,2066.858,2378.6047999999996,1,1702008000.0,2383.9,278.94000000000005,TP/SL/BMS/CHOCH,A,False
