symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
BTCUSDT,15m,FifteenMinStrategy,short,1721118600.0,62726.0,62851.452,56453.399999999994,1,1721120400.0,62972.0,-246.0,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1721142900.0,64504.01,63273.20998,70954.41100000001,1,1722525300.0,62983.99,-1520.020000000004,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1722534300.0,63220.0,63507.83928,56897.99999999999,1,1722542400.0,63534.0,-314.0,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1722546000.0,64720.0,64498.75398,71192.0,1,1722564900.0,63970.02,-749.9800000000032,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1722565800.0,64226.0,64354.452,57803.399999999994,1,1722566700.0,64359.91,-133.9100000000035,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1722580200.0,64201.27,64505.83536,57781.14299999999,1,1722588300.0,64598.01,-396.74000000000524,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1722596400.0,64769.52,64156.95,71246.47200000001,1,1722609000.0,63883.29,-886.2299999999959,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,15m,FifteenMinStrategy,short,1722616200.0,63435.89,63754.0,57092.30099999999,1,1722817800.0,56722.0,6713.889999999999,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1722820500.0,54251.88,55107.37476,48826.691999999995,1,1722821400.0,55181.79,-929.9100000000035,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1722834000.0,52908.0,54555.57336,47617.2,1,1722873600.0,54948.02,-2040.0199999999968,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1722876300.0,54039.11,53817.864,59443.02100000001,1,1722882600.0,53504.73,-534.3799999999974,TP/SL/BMS/CHOCH,B,False
