symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
ETHUSDT,1h,OneHourStrategy,long,1696269600.0,1658.36,1635.08,1824.1960000000001,1,1696428000.0,1633.97,-24.389999999999873,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1698937200.0,1803.2,1795.1981999999998,1983.5200000000002,1,1698969600.0,1786.87,-16.330000000000155,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1701795600.0,2291.86,2306.7997,2062.674,1,1701820800.0,2310.11,-18.25,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1702857600.0,2193.65,2185.3243,2413.0150000000003,1,1702861200.0,2170.27,-23.38000000000011,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1703005200.0,2140.76,2132.62288,2354.8360000000002,1,1703692800.0,2366.33,225.5699999999997,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1704844800.0,2398.63,2407.2,2158.767,1,1704877200.0,2425.62,-26.98999999999978,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1707444000.0,2457.51,2465.9757999999997,2211.759,1,1707465600.0,2476.01,-18.5,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1707750000.0,2557.87,2570.85951,2302.0829999999996,1,1707757200.0,2608.93,-51.059999999999945,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1709481600.0,3480.52,3494.2614299999996,3132.468,1,1709539200.0,3534.0,-53.48000000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1709665200.0,3376.46,3190.4,3714.106,1,1709701200.0,3769.44,392.98,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1709712000.0,3825.38,3879.6742099999997,3442.8419999999996,1,1709722800.0,3879.74,-54.35999999999967,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1710140400.0,4001.4,4023.8253699999996,3601.2599999999998,1,1710147600.0,4037.01,-35.61000000000013,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1711947600.0,3510.0,3489.5,3861.0000000000005,1,1711983600.0,3444.04,-65.96000000000004,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1713488400.0,2941.96,2918.7274700000003,3236.1560000000004,1,1713880800.0,3247.84,305.8800000000001,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1713970800.0,3175.8,3157.72831,3493.3800000000006,1,1713981600.0,3129.76,-46.039999999999964,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1715349600.0,2935.78,2915.40746,3229.3580000000006,1,1715360400.0,2892.77,-43.01000000000022,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1715565600.0,2885.35,2865.378,3173.885,1,1716231600.0,3438.87,553.52,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1718380800.0,3403.21,3379.83,3743.5310000000004,1,1719205200.0,3371.33,-31.88000000000011,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1720425600.0,3057.26,3074.7566799999995,2751.534,1,1720512000.0,3083.79,-26.529999999999745,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1721142000.0,3476.25,3495.1841899999995,3128.6249999999995,1,1721188800.0,3496.0,-19.75,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1722456000.0,3222.45,3207.6979499999998,3544.695,1,1722477600.0,3197.69,-24.759999999999764,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1723460400.0,2673.6,2691.2495999999996,2406.24,1,1723471200.0,2702.09,-28.490000000000236,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1724112000.0,2659.4,2678.52153,2393.46,1,1724130000.0,2684.01,-24.610000000000127,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1724162400.0,2585.41,2575.03166,2843.951,1,1724166000.0,2574.99,-10.420000000000073,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1724169600.0,2574.59,2558.1026,2832.0490000000004,1,1724792400.0,2490.61,-83.98000000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1725465600.0,2477.12,2497.47,2229.408,1,1725645600.0,2210.17,266.9499999999998,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1726700400.0,2374.75,2383.2684199999994,2137.2749999999996,1,1726704000.0,2398.4,-23.65000000000009,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1727787600.0,2580.7,2559.04975,2838.77,1,1727791200.0,2549.54,-31.159999999999854,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1729515600.0,2672.05,2654.82157,2939.2550000000006,1,1729555200.0,2638.1,-33.95000000000027,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1729882800.0,2476.1,2464.00574,2723.71,1,1729897200.0,2440.62,-35.48000000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1735567200.0,3315.54,3300.07,3647.094,1,1736020800.0,3660.47,344.92999999999984,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1737176400.0,3294.0,3280.13997,3623.4,1,1737190800.0,3270.97,-23.0300000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1737306000.0,3442.39,3458.0430999999994,3098.1509999999994,1,1737957600.0,3084.05,358.3399999999997,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1739502000.0,2715.39,2729.5642,2443.8509999999997,1,1739545200.0,2734.33,-18.940000000000055,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1739782800.0,2733.12,2750.0956099999994,2459.8079999999995,1,1739790000.0,2755.2,-22.079999999999927,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1740164400.0,2640.19,2618.06218,2904.2090000000003,1,1740434400.0,2508.2,-131.99000000000024,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1740834000.0,2152.69,2136.30181,2367.9590000000003,1,1740931200.0,2442.55,289.8600000000001,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1741622400.0,2005.29,1994.0,2205.819,1,1741626000.0,1917.49,-87.79999999999995,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1742342400.0,1945.36,1954.8770899999997,1750.8239999999998,1,1742378400.0,1973.51,-28.15000000000009,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1742788800.0,2040.27,2049.89128,1836.2429999999997,1,1742796000.0,2066.64,-26.36999999999989,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1745197200.0,1628.64,1634.7395499999998,1465.7759999999998,1,1745208000.0,1640.08,-11.439999999999827,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1745258400.0,1567.73,1562.57816,1724.5030000000002,1,1745355600.0,1754.25,186.51999999999998,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1745852400.0,1763.28,1747.741,1939.6080000000002,1,1746018000.0,1740.85,-22.430000000000064,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1746576000.0,1842.23,1853.3133099999998,1658.0069999999998,1,1746673200.0,1901.1,-58.86999999999989,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1747594800.0,2408.2,2396.12001,2649.02,1,1747598400.0,2393.81,-14.389999999999873,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1747602000.0,2407.16,2316.24037,2647.876,1,1747900800.0,2663.48,256.32000000000016,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1747998000.0,2566.79,2543.347,2823.469,1,1748030400.0,2543.23,-23.559999999999945,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1749470400.0,2545.41,2556.5467,2290.8689999999997,1,1749484800.0,2558.1,-12.690000000000055,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1750435200.0,2482.51,2468.572,2730.7610000000004,1,1750438800.0,2419.41,-63.100000000000364,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1750903200.0,2493.3,2509.506,2243.97,1,1751241600.0,2518.68,-25.379999999999654,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1751738400.0,2492.85,2484.75331,2742.135,1,1752087600.0,2765.01,272.1600000000003,TP/SL/BMS/CHOCH
