symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
ETHUSDT,4h,FourHourStrategy,long,1724385600.0,2669.23,2564.595,3256.4606,1,1724788800.0,2457.33,-211.9000000000001,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1727136000.0,2627.4,2711.951,2049.3720000000003,1,1729454400.0,2746.91,-119.50999999999976,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1729512000.0,2679.43,2786.59,2089.9554,1,1730937600.0,2852.42,-172.99000000000024,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1731470400.0,3160.89,3337.6157000000003,2465.4942,1,1732204800.0,3347.0,-186.11000000000013,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1732449600.0,3294.39,3484.5,2569.6242,1,1732536000.0,3518.41,-224.01999999999998,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1732680000.0,3424.11,3257.4465,4177.4142,1,1734681600.0,3104.56,-319.5500000000002,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1735200000.0,3373.28,3535.0,2631.1584000000003,1,1735905600.0,3565.13,-191.8499999999999,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1735920000.0,3622.83,3398.1156,4419.8526,1,1736265600.0,3385.67,-237.15999999999985,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1738324800.0,3427.66,3188.988,4181.745199999999,1,1738440000.0,3117.54,-310.1199999999999,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1738958400.0,2622.1,2792.4278000000004,2045.238,1,1740283200.0,2825.2,-203.0999999999999,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1740571200.0,2428.47,2558.8248999999996,1894.2066,1,1741622400.0,1869.3,559.1699999999998,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1742788800.0,2069.16,1967.625,2524.3752,1,1743134400.0,1910.21,-158.94999999999982,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1745136000.0,1572.62,1648.1281,1226.6435999999999,1,1745323200.0,1703.01,-130.3900000000001,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1745913600.0,1829.77,1735.47,2232.3194,1,1746763200.0,2364.09,534.3200000000002,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1747065600.0,2460.36,2650.2400000000002,1919.0808000000002,1,1747152000.0,2690.94,-230.57999999999993,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1747440000.0,2496.98,2675.8031,1947.6444000000001,1,1747958400.0,2722.0,-225.01999999999998,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1750046400.0,2628.68,2505.7791,3206.9896,1,1750161600.0,2499.0,-129.67999999999984,TP/SL/BMS/CHOCH,A,False
