ts,open,high,low,close,vol
1736082000,97770.01,97965.31,97737.2,97965.3,119.24848
1736083800,97965.3,98018.96,97680.18,97689.96,162.69471
1736085600,97689.96,97779.96,97276.79,97484.97,540.0203
1736087400,97484.97,97967.08,97372.99,97855.06,236.63844
1736089200,97855.06,98024.48,97702.3,97908.1,207.34019
1736091000,97908.1,98281.89,97908.1,98028.98,284.89055
1736092800,98028.98,98332.54,97988.88,98082.34,315.28803
1736094600,98082.34,98113.29,97937.82,98035.17,139.27578
1736096400,98035.17,98078.94,97880.39,97967.99,161.52147
1736098200,97968.0,98023.84,97673.57,97731.08,197.1345
1736100000,97731.09,97777.46,97577.46,97706.91,217.38967
1736101800,97706.91,97927.98,97695.58,97918.91,83.90066
1736103600,97918.91,98109.0,97854.99,98056.22,171.95994
1736105400,98056.22,98079.64,97975.24,98079.63,134.8969
1736107200,98079.64,98678.0,98024.0,98482.49,470.53676
1736109000,98482.49,98497.32,98161.38,98275.71,209.92491
1736110800,98275.71,98419.94,98216.58,98303.61,213.75521
1736112600,98303.62,98522.46,98283.29,98496.52,114.02847
1736114400,98496.52,98556.3,98344.0,98550.18,114.76408
1736116200,98550.17,98745.45,98516.27,98695.21,293.08867
1736118000,98695.21,98836.85,98366.12,98475.09,344.33388
1736119800,98475.09,98504.0,98322.72,98363.61,125.34701
1736121600,98363.61,98773.48,98300.0,98477.68,286.21077
1736123400,98477.68,98561.96,98190.75,98217.23,208.01988
1736125200,98217.23,98345.68,97920.0,98121.23,261.85346
1736127000,98121.24,98816.28,98116.0,98759.43,305.52518
1736128800,98759.42,99333.0,98649.97,98757.01,1199.70175
1736130600,98757.01,99118.24,98670.27,98815.39,413.71811
1736132400,98815.39,99124.24,98759.55,99099.09,327.24839
1736134200,99099.09,99235.99,99000.0,99037.57,194.94576
1736136000,99037.57,99444.0,99037.57,99250.0,314.81934
1736137800,99250.0,99500.88,99184.98,99466.09,330.68726
1736139600,99466.09,99666.0,99400.0,99660.12,332.02966
1736141400,99660.13,99892.0,99502.0,99600.0,607.3505
1736143200,99600.0,99700.0,99382.31,99484.83,404.61171
1736145000,99484.84,99763.99,99440.64,99512.21,399.23762
1736146800,99512.21,99529.87,99161.14,99322.68,367.86588
1736148600,99322.67,99423.68,99240.24,99318.7,188.0313
1736150400,99318.7,99625.69,99318.7,99395.09,236.52082
1736152200,99395.08,99426.38,99000.0,99043.49,437.81149
1736154000,99043.49,99250.0,99020.0,99114.26,240.72099
1736155800,99114.26,99145.63,98942.46,98999.99,206.67012
1736157600,99000.0,99057.95,98802.01,99010.43,308.44553
1736159400,99010.42,99010.43,98709.28,98767.96,217.42174
1736161200,98767.96,99312.0,98712.0,99248.69,429.1917
