ts,oi
1778000400,2112434.933
1778004000,2112232.749
1778007600,2098906.512
1778011200,2091789.022
1778014800,2102764.254
1778018400,2092633.858
1778022000,2068107.676
1778025600,2071426.349
1778029200,2072674.865
1778032800,2073780.914
1778036400,2072972.539
1778040000,2068050.167
1778043600,2057221.827
1778047200,2054183.955
1778050800,2052336.741
1778054400,2050244.137
1778058000,2072867.824
1778061600,2220216.104
1778065200,2260771.214
1778068800,2323214.264
1778072400,2313046.585
1778076000,2278500.19
1778079600,2259162.665
1778083200,2263326.392
1778086800,2245154.021
1778090400,2234675.964
1778094000,2217859.367
1778097600,2226877.456
1778101200,2213394.44
1778104800,2204010.753
1778108400,2210794.912
1778112000,2195717.676
1778115600,2203126.643
1778119200,2244810.107
1778122800,2288334.782
1778126400,2299204.095
1778130000,2306653.703
1778133600,2296665.692
1778137200,2288544.851
1778140800,2295387.215
1778144400,2298160.97
1778148000,2308065.483
1778151600,2313462.968
1778155200,2314564.946
1778158800,2322041.966
1778162400,2332703.773
1778166000,2325736.883
1778169600,2334411.289
1778173200,2334982.194
1778176800,2326924.046
1778180400,2331208.105
1778184000,2329070.473
1778187600,2312323.437
1778191200,2306111.709
1778194800,2294502.713
1778198400,2294594.437
1778202000,2301053.884
1778205600,2306161.047
1778209200,2314611.557
1778212800,2306563.541
1778216400,2310329.556
1778220000,2310593.665
1778223600,2299130.209
1778227200,2304077.891
1778230800,2302201.212
1778234400,2299516.585
1778238000,2298149.411
1778241600,2300463.818
1778245200,2290555.211
1778248800,2296852.973
1778252400,2299031.439
1778256000,2298729.781
1778259600,2288818.174
1778263200,2251331.441
1778266800,2253463.883
1778270400,2247577.571
1778274000,2234357.091
1778277600,2237455.067
1778281200,2235381.352
1778284800,2238183.037
1778288400,2241089.668
1778292000,2240851.219
1778295600,2243875.486
1778299200,2244353.684
1778302800,2244020.463
1778306400,2247187.097
1778310000,2250708.623
1778313600,2250656.682
1778317200,2243953.726
1778320800,2246800.659
1778324400,2250322.23
1778328000,2257362.963
1778331600,2257015.197
1778335200,2259982.169
1778338800,2253346.821
1778342400,2221735.8
1778346000,2198908.981
1778349600,2188717.432
1778353200,2180048.188
1778356800,2180631.856
1778360400,2179742.39
1778364000,2176149.493
1778367600,2175849.492
1778371200,2168741.643
1778374800,2163156.847
1778378400,2160494.838
1778382000,2162331.874
1778385600,2164041.694
1778389200,2166355.512
1778392800,2166762.29
1778396400,2172726.091
1778400000,2172788.88
1778403600,2174368.359
1778407200,2168953.594
1778410800,2166799.395
1778414400,2178661.679
1778418000,2185716.071
1778421600,2185325.36
1778425200,2183275.625
1778428800,2177656.076
1778432400,2172435.871
1778436000,2131107.772
1778439600,2118884.67
1778443200,2112794.713
1778446800,2060945.666
1778450400,2044457.834
1778454000,2062480.464
1778457600,2069604.949
1778461200,2036672.356
1778464800,2037617.444
1778468400,2037125.404
1778472000,2048218.146
1778475600,2056276.337
1778479200,2060403.534
1778482800,2058753.342
1778486400,2059957.846
1778490000,2061211.781
1778493600,2066691.154
1778497200,2071559.063
1778500800,2073591.613
1778504400,2083676.078
1778508000,2103948.147
1778511600,2100005.503
1778515200,2095574.575
1778518800,2082249.497
1778522400,2077584.595
1778526000,2071671.285
1778529600,2067809.716
1778533200,2065279.422
1778536800,2063108.44
1778540400,2068137.635
1778544000,2066572.213
1778547600,2069956.831
1778551200,2092886.46
1778554800,2105908.432
1778558400,2109779.791
1778562000,2109685.744
1778565600,2112611.442
1778569200,2131349.187
1778572800,2136192.417
1778576400,2176650.827
1778580000,2186277.371
1778583600,2189053.49
1778587200,2192166.824
1778590800,2194582.932
1778594400,2202064.518
1778598000,2225659.208
1778601600,2249414.595
1778605200,2265150.827
1778608800,2262091.897
1778612400,2256708.084
1778616000,2251501.448
1778619600,2243992.842
1778623200,2239344.297
1778626800,2232249.19
1778630400,2230684.379
1778634000,2228178.071
1778637600,2225352.019
1778641200,2220828.613
1778644800,2217590.323
1778648400,2204987.611
1778652000,2197149.189
1778655600,2198357.339
1778659200,2196317.752
1778662800,2179257.841
1778666400,2155264.503
1778670000,2144682.498
1778673600,2143984.407
1778677200,2143863.85
1778680800,2189115.063
1778684400,2208403.246
1778688000,2216423.615
1778691600,2248399.896
1778695200,2257346.886
1778698800,2249852.225
1778702400,2248768.557
1778706000,2249522.709
1778709600,2243662.841
1778713200,2246808.188
1778716800,2250064.375
1778720400,2249566.369
1778724000,2249601.575
1778727600,2249446.116
1778731200,2249571.524
1778734800,2250781.997
1778738400,2231463.397
1778742000,2224952.395
1778745600,2224426.44
1778749200,2217774.745
1778752800,2222243.744
1778756400,2214090.379
1778760000,2214540.951
1778763600,2213512.184
1778767200,2227701.943
1778770800,2191387.398
1778774400,2182089.881
1778778000,2150193.371
1778781600,2120738.492
1778785200,2127138.352
1778788800,2114951.164
1778792400,2095931.229
1778796000,2086394.184
1778799600,2086171.251
1778803200,2090453.926
1778806800,2097207.495
1778810400,2096122.135
1778814000,2099843.344
1778817600,2103426.208
1778821200,2103655.272
1778824800,2141118.784
1778828400,2151245.104
1778832000,2142205.605
1778835600,2143125.618
1778839200,2155094.722
1778842800,2167253.445
1778846400,2169400.565
1778850000,2178571.245
1778853600,2204745.808
1778857200,2260446.919
1778860800,2290811.981
1778864400,2297555.377
1778868000,2292534.818
1778871600,2292817.977
1778875200,2289145.712
1778878800,2276574.306
1778882400,2272308.137
1778886000,2274380.321
1778889600,2276025.783
1778893200,2276707.261
1778896800,2275887.497
1778900400,2277110.079
1778904000,2275265.665
1778907600,2275769.756
1778911200,2277635.233
1778914800,2286736.086
1778918400,2267551.752
1778922000,2276752.856
1778925600,2276930.529
1778929200,2300339.825
1778932800,2302801.745
1778936400,2308818.551
1778940000,2309912.463
1778943600,2309299.637
1778947200,2313440.491
1778950800,2317779.084
1778954400,2314581.025
1778958000,2311508.928
1778961600,2307756.602
1778965200,2305511.296
1778968800,2301798.303
1778972400,2300735.098
1778976000,2299473.76
1778979600,2298618.392
1778983200,2317867.203
1778986800,2320221.707
1778990400,2319680.356
1778994000,2310437.801
