ts,oi
1776636000,97382.707
1776636900,96697.684
1776637800,96347.215
1776638700,96247.046
1776639600,96175.566
1776640500,96074.613
1776641400,95996.515
1776642300,95758.466
1776643200,95695.642
1776644100,95428.254
1776645000,95251.262
1776645900,95259.337
1776646800,95355.192
1776647700,95286.631
1776648600,95195.516
1776649500,95209.764
1776650400,95230.845
1776651300,95218.138
1776652200,95228.264
1776653100,95222.743
1776654000,95220.276
1776654900,95267.553
1776655800,95560.709
1776656700,95526.02
1776657600,95286.254
1776658500,95272.613
1776659400,95302.35
1776660300,95315.581
1776661200,95357.827
1776662100,95385.83
1776663000,95379.602
1776663900,95348.662
1776664800,95388.979
1776665700,95417.562
1776666600,95424.653
1776667500,95479.567
1776668400,95619.039
1776669300,95739.538
1776670200,95341.311
1776671100,95324.528
1776672000,95159.148
1776672900,95071.32
1776673800,95064.562
1776674700,95002.047
1776675600,94957.325
1776676500,94999.104
1776677400,95027.807
1776678300,95024.448
1776679200,95021.241
1776680100,94881.69
1776681000,94861.166
1776681900,94878.277
1776682800,94817.991
1776683700,94781.802
1776684600,94766.183
1776685500,94771.756
1776686400,94744.206
1776687300,94876.469
1776688200,94668.654
1776689100,94422.374
1776690000,94536.234
1776690900,94550.939
1776691800,94864.101
1776692700,94935.981
1776693600,94985.03
1776694500,95096.638
1776695400,95200.957
1776696300,95320.848
1776697200,95236.228
1776698100,95076.465
1776699000,95163.391
1776699900,95187.772
1776700800,95323.768
1776701700,95309.927
1776702600,95281.731
1776703500,95314.52
1776704400,95229.42
1776705300,94863.06
1776706200,94639.061
1776707100,94636.445
1776708000,94214.071
1776708900,93251.264
1776709800,93347.043
1776710700,93486.196
1776711600,94169.649
1776712500,93654.246
1776713400,93575.408
1776714300,93991.023
1776715200,94729.626
1776716100,94747.867
1776717000,94423.912
1776717900,93526.625
1776718800,93527.811
1776719700,93467.045
1776720600,93443.707
1776721500,93420.378
1776722400,93392.333
1776723300,93434.111
1776724200,93421.369
1776725100,93436.249
1776726000,93447.595
1776726900,93386.167
1776727800,93245.432
1776728700,93218.592
1776729600,93250.322
1776730500,93342.961
1776731400,93342.56
1776732300,93262.101
1776733200,93336.36
1776734100,93457.434
1776735000,93518.4
1776735900,93533.932
1776736800,93523.74
1776737700,93521.708
1776738600,93568.248
1776739500,93532.811
1776740400,93498.207
1776741300,93511.58
1776742200,93489.914
1776743100,93498.811
1776744000,93480.458
1776744900,93505.156
1776745800,93569.577
1776746700,93528.137
1776747600,93512.504
1776748500,93458.988
1776749400,93891.826
1776750300,93934.862
1776751200,93978.643
1776752100,93992.434
1776753000,94034.838
1776753900,94070.029
1776754800,94149.091
1776755700,94118.164
1776756600,94149.619
1776757500,94206.548
1776758400,94183.984
1776759300,94291.326
1776760200,94379.444
1776761100,94493.67
1776762000,94095.552
1776762900,94485.48
1776763800,94517.117
1776764700,94723.376
1776765600,94763.441
1776766500,94841.034
1776767400,94890.128
1776768300,95044.766
1776769200,95285.147
1776770100,95641.573
1776771000,95753.131
1776771900,95859.435
1776772800,95888.455
1776773700,95865.236
1776774600,95708.937
1776775500,96030.512
1776776400,95886.084
1776777300,95895.652
1776778200,95922.428
1776779100,95885.23
1776780000,96149.931
1776780900,96181.253
1776781800,97540.774
1776782700,98151.618
1776783600,98363.702
1776784500,98047.804
1776785400,97914.884
1776786300,97786.873
1776787200,97727.564
1776788100,97728.641
1776789000,97716.563
1776789900,97482.05
1776790800,97418.396
1776791700,97217.263
1776792600,96781.666
1776793500,96332.28
1776794400,96562.328
1776795300,96427.018
1776796200,96411.268
1776797100,96446.839
1776798000,96366.868
1776798900,96198.083
1776799800,96340.683
1776800700,95901.21
1776801600,95727.12
1776802500,95694.722
1776803400,95858.582
1776804300,95779.455
1776805200,95714.08
1776806100,95744.986
1776807000,95702.895
1776807900,95664.949
1776808800,95709.469
1776809700,95760.126
1776810600,95528.981
1776811500,95485.746
1776812400,95436.584
1776813300,95394.058
1776814200,95344.922
1776815100,94907.612
1776816000,94836.652
1776816900,94989.556
1776817800,95142.232
1776818700,95349.052
1776819600,95490.039
1776820500,95523.327
1776821400,95568.143
1776822300,95610.321
1776823200,95676.704
1776824100,95903.086
1776825000,96949.428
1776825900,97295.963
1776826800,97520.621
1776827700,98018.93
1776828600,98283.456
1776829500,98411.493
1776830400,98593.704
1776831300,98726.177
1776832200,98824.741
1776833100,99031.2
1776834000,99095.975
1776834900,99209.611
1776835800,100251.851
1776836700,99298.304
1776837600,99757.446
1776838500,99881.267
1776839400,99858.44
1776840300,99876.772
1776841200,99933.493
1776842100,99986.627
1776843000,99897.904
1776843900,99853.654
1776844800,99808.874
1776845700,99571.133
1776846600,100021.485
1776847500,100064.674
1776848400,100178.293
1776849300,100200.819
1776850200,100252.458
1776851100,100350.119
1776852000,100415.608
1776852900,100466.562
1776853800,100497.77
1776854700,100569.333
1776855600,100573.361
1776856500,100639.316
1776857400,100646.142
1776858300,100760.184
1776859200,100765.952
1776860100,100739.12
1776861000,100764.289
1776861900,100834.666
1776862800,100921.03
1776863700,101050.163
1776864600,101122.379
1776865500,101336.657
1776866400,101806.096
1776867300,102381.578
1776868200,102770.267
1776869100,102787.935
1776870000,103699.988
1776870900,104409.368
1776871800,105222.371
1776872700,105937.334
1776873600,105962.294
1776874500,106169.537
1776875400,106122.378
1776876300,106115.928
1776877200,105680.611
1776878100,105552.892
1776879000,105451.552
1776879900,105499.796
1776880800,105421.132
1776881700,105393.3
1776882600,105382.493
1776883500,105411.78
1776884400,105459.571
1776885300,104603.684
1776886200,104558.039
1776887100,104393.077
1776888000,104318.541
1776888900,104355.318
1776889800,104366.147
1776890700,104493.314
1776891600,104270.767
1776892500,104234.051
1776893400,104280.19
1776894300,104217.459
1776895200,104242.041
1776896100,104334.796
1776897000,104361.407
1776897900,104322.036
1776898800,104272.06
1776899700,104231.319
1776900600,103890.007
1776901500,103863.354
1776902400,103867.514
1776903300,103395.462
1776904200,102543.17
1776905100,102563.743
1776906000,102600.849
1776906900,102495.44
1776907800,102468.119
1776908700,102515.421
1776909600,102533.404
1776910500,102571.703
1776911400,102525.712
1776912300,102456.811
1776913200,102429.839
1776914100,102316.617
1776915000,102192.196
1776915900,102242.246
1776916800,102408.436
1776917700,102341.523
