區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-07-01~2025-01-01,smc,1.1,0.003,-1.213225,0.0233,43,-14.082577307069423,0.0,0.002621787678555802
2024-07-01~2025-01-01,smc,1.1,0.004,-1.213225,0.0233,43,-14.082577307069423,0.0,0.002621787678555802
2024-07-01~2025-01-01,smc,1.1,0.005,-1.213225,0.0233,43,-14.082577307069423,0.0,0.002621787678555802
2024-07-01~2025-01-01,smc,1.15,0.002,-1.663225,0.0233,43,-12.584040017514624,0.0,0.0019137976323989052
2024-07-01~2025-01-01,smc,1.15,0.003,-1.663225,0.0233,43,-12.584040017514624,0.0,0.0019137976323989052
2024-07-01~2025-01-01,smc,1.15,0.004,-1.663225,0.0233,43,-12.584040017514624,0.0,0.0019137976323989052
2024-07-01~2025-01-01,smc,1.15,0.005,-1.663225,0.0233,43,-12.584040017514624,0.0,0.0019137976323989052
2024-07-01~2025-01-01,smc,1.2,0.002,-2.113225,0.0233,43,-11.849049371370523,0.0,0.0015068786768058634
2024-07-01~2025-01-01,smc,1.2,0.003,-2.113225,0.0233,43,-11.849049371370523,0.0,0.0015068786768058634
2024-07-01~2025-01-01,smc,1.2,0.004,-2.113225,0.0233,43,-11.849049371370523,0.0,0.0015068786768058634
2024-07-01~2025-01-01,smc,1.2,0.005,-2.113225,0.0233,43,-11.849049371370523,0.0,0.0015068786768058634
2024-07-01~2025-01-01,smc_loose,1.05,0.002,-10.718532,0.1169,462,-15.028329872517675,0.0,0.13758358642696605
2024-07-01~2025-01-01,smc_loose,1.05,0.003,-10.653498,0.1165,472,-14.743311047464283,0.0,0.13598567321405527
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-14.131212,0.094,564,-16.867655062674842,0.0,0.10269734348336083
2024-07-01~2025-01-01,smc_loose,1.05,0.005,-13.754486,0.1007,566,-16.379720356285763,0.0,0.10686527077073026
2024-07-01~2025-01-01,smc_loose,1.1,0.002,-14.074847,0.1016,305,-15.526218897907873,0.0,0.10033289791402518
2024-07-01~2025-01-01,smc_loose,1.1,0.003,-13.68279,0.1059,321,-14.531158252771526,0.0,0.10340168936809914
2024-07-01~2025-01-01,smc_loose,1.1,0.004,-18.140038,0.0882,374,-16.789113700341115,0.0,0.07540642220396733
2024-07-01~2025-01-01,smc_loose,1.1,0.005,-17.451717,0.0936,374,-16.189735696290455,0.0,0.07924209408288657
2024-07-01~2025-01-01,smc_loose,1.15,0.002,-9.464287,0.1088,147,-14.445384439668386,0.0,0.10278120757770963
2024-07-01~2025-01-01,smc_loose,1.15,0.003,-11.142752,0.1018,167,-15.152239411398224,0.0,0.0882837438385936
2024-07-01~2025-01-01,smc_loose,1.15,0.004,-13.111991,0.0904,188,-15.981302417707823,0.0,0.0766221878893068
2024-07-01~2025-01-01,smc_loose,1.15,0.005,-12.660768,0.1036,193,-15.13835050296743,0.0,0.08106541841616209
2024-07-01~2025-01-01,smc_loose,1.2,0.002,-19.995621,0.0971,206,-17.040806519729074,0.0,0.05916060742511191
2024-07-01~2025-01-01,smc_loose,1.2,0.003,-21.72278,0.0977,215,-17.73157180891482,0.0,0.0546652153368551
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-23.922107,0.0905,232,-18.194722177834144,0.0,0.05023183833685138
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-23.741512,0.095,242,-17.372282957800937,0.0,0.05150211366941279
2025-01-01~2025-07-01,smc,1.05,0.002,-0.789404,0.0625,32,-18.290057097414937,0.0,0.059181558707707325
2025-01-01~2025-07-01,smc,1.05,0.003,-0.789404,0.0625,32,-18.290057097414937,0.0,0.059181558707707325
2025-01-01~2025-07-01,smc,1.05,0.004,-0.789404,0.0625,32,-18.290057097414937,0.0,0.059181558707707325
2025-01-01~2025-07-01,smc,1.05,0.005,-0.789404,0.0625,32,-18.290057097414937,0.0,0.059181558707707325
2025-01-01~2025-07-01,smc,1.1,0.002,-1.439404,0.0625,32,-16.028556122456443,0.0,0.0647517777614346
2025-01-01~2025-07-01,smc,1.1,0.003,-1.439404,0.0625,32,-16.028556122456443,0.0,0.0647517777614346
2025-01-01~2025-07-01,smc,1.1,0.004,-1.439404,0.0625,32,-16.028556122456443,0.0,0.0647517777614346
2025-01-01~2025-07-01,smc,1.1,0.005,-1.439404,0.0625,32,-16.028556122456443,0.0,0.0647517777614346
2025-01-01~2025-07-01,smc,1.15,0.002,-1.485404,0.0714,28,-12.674433488418105,0.0,0.09152987333824367
2025-01-01~2025-07-01,smc,1.15,0.003,-1.485404,0.0714,28,-12.674433488418105,0.0,0.09152987333824367
2025-01-01~2025-07-01,smc,1.15,0.004,-1.485404,0.0714,28,-12.674433488418105,0.0,0.09152987333824367
2025-01-01~2025-07-01,smc,1.15,0.005,-1.485404,0.0714,28,-12.674433488418105,0.0,0.09152987333824367
2025-01-01~2025-07-01,smc,1.2,0.002,-0.872074,0.0714,14,-13.055180124519577,0.0,0.0007527626351238538
2025-01-01~2025-07-01,smc,1.2,0.003,-0.872074,0.0714,14,-13.055180124519577,0.0,0.0007527626351238538
2025-01-01~2025-07-01,smc,1.2,0.004,-0.872074,0.0714,14,-13.055180124519577,0.0,0.0007527626351238538
2025-01-01~2025-07-01,smc,1.2,0.005,-0.872074,0.0714,14,-13.055180124519577,0.0,0.0007527626351238538
2025-01-01~2025-07-01,smc_loose,1.05,0.002,-10.515851,0.1161,465,-15.48497095158479,0.0,0.11075259358893756
2025-01-01~2025-07-01,smc_loose,1.05,0.003,-10.254851,0.1204,465,-15.006510599556483,0.0,0.11764750859178734
2025-01-01~2025-07-01,smc_loose,1.05,0.004,-9.33175,0.1222,442,-14.451492714689541,0.0,0.12350245556369635
2025-01-01~2025-07-01,smc_loose,1.05,0.005,-8.501785,0.1209,422,-13.745092235002515,0.0,0.13655318192548663
2025-01-01~2025-07-01,smc_loose,1.1,0.002,-13.881365,0.0886,271,-18.979974767515415,0.0,0.04066886544771493
2025-01-01~2025-07-01,smc_loose,1.1,0.003,-13.999502,0.0859,291,-17.677414480174868,0.0,0.04675089561223782
2025-01-01~2025-07-01,smc_loose,1.1,0.004,-9.74244,0.1102,236,-15.258841672039445,0.0,0.06590775469903655
2025-01-01~2025-07-01,smc_loose,1.1,0.005,-7.917785,0.1111,207,-13.980025947308027,0.0,0.08775288358308918
2025-01-01~2025-07-01,smc_loose,1.15,0.002,-15.442924,0.1009,228,-17.015663099198648,0.0,0.03374076420705478
2025-01-01~2025-07-01,smc_loose,1.15,0.003,-13.996773,0.1028,214,-16.401707399471245,0.0,0.03698976776498007
2025-01-01~2025-07-01,smc_loose,1.15,0.004,-11.877952,0.1042,192,-15.58647362411554,0.0,0.04259246912536192
2025-01-01~2025-07-01,smc_loose,1.15,0.005,-5.244696,0.1416,113,-12.038461760431076,0.0,0.08761730922598378
2025-01-01~2025-07-01,smc_loose,1.2,0.002,-11.774367,0.1071,140,-16.235926967841895,0.0,0.023086309004750012
2025-01-01~2025-07-01,smc_loose,1.2,0.003,-10.928937,0.1095,137,-15.488942514060037,0.0,0.02482785625576596
2025-01-01~2025-07-01,smc_loose,1.2,0.004,-10.159064,0.1128,133,-14.984348010882721,0.0,0.026343826776026518
2025-01-01~2025-07-01,smc_loose,1.2,0.005,-8.610912,0.1094,128,-13.192793425568658,0.0,0.050060773278052466
2025-07-01~2026-01-01,smc,1.05,0.002,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.05,0.003,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.05,0.004,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.05,0.005,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.1,0.002,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.1,0.003,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.1,0.004,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.1,0.005,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.15,0.002,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.15,0.003,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.15,0.004,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.15,0.005,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.2,0.002,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.2,0.003,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.2,0.004,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc,1.2,0.005,-0.002312,0.0,1,,,
2025-07-01~2026-01-01,smc_loose,1.05,0.002,-0.326191,0.0909,11,-17.022796584921853,0.0,0.130599996793048
2025-07-01~2026-01-01,smc_loose,1.05,0.003,-0.27285,0.1111,9,-16.489218809339736,0.0,0.1522449329023721
2025-07-01~2026-01-01,smc_loose,1.05,0.004,-0.27285,0.1111,9,-16.489218809339736,0.0,0.1522449329023721
2025-07-01~2026-01-01,smc_loose,1.05,0.005,-0.22185,0.125,8,-14.465938560356642,0.0,0.1809120827582657
2025-07-01~2026-01-01,smc_loose,1.1,0.002,-0.525191,0.1,10,-14.421633900000899,0.0,0.15860518857060907
2025-07-01~2026-01-01,smc_loose,1.1,0.003,-0.42185,0.125,8,-13.549566861885863,0.0,0.1900739935106314
2025-07-01~2026-01-01,smc_loose,1.1,0.004,-0.42185,0.125,8,-13.549566861885863,0.0,0.1900739935106314
2025-07-01~2026-01-01,smc_loose,1.1,0.005,-0.630868,0.0909,11,-16.295512304325744,0.0,0.13564095592804587
2025-07-01~2026-01-01,smc_loose,1.15,0.002,-0.924191,0.0,9,-27.0620335850403,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.003,-0.77085,0.0,7,-30.13041612768612,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.004,-0.77085,0.0,7,-30.13041612768612,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.005,-0.61985,0.0,6,-26.70879853881091,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.002,-1.224191,0.0,9,-26.656498399196465,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.003,-1.02085,0.0,7,-29.571148157672212,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.004,-1.02085,0.0,7,-29.571148157672212,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.005,-0.81985,0.0,6,-26.180354626783217,0.0,0.0
