區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-07-01~2025-01-01,smc,1.2,0.004,-2.991258,0.1489,47,-12.193197128909702,563.2421690546485,0.06935561055002998
2024-07-01~2025-01-01,smc,1.2,0.005,-2.991258,0.1489,47,-12.193197128909702,563.2421690546485,0.06935561055002998
2024-07-01~2025-01-01,smc_loose,1.05,0.002,-21.291222,0.0936,844,-17.132787928815787,0.0,0.10109737213031021
2024-07-01~2025-01-01,smc_loose,1.05,0.003,-18.893179,0.0895,793,-16.271182243151173,0.0,0.10856848259697474
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-17.628556,0.0989,789,-15.273423334692737,0.0,0.118593370071119
2024-07-01~2025-01-01,smc_loose,1.05,0.005,-17.279896,0.1029,787,-15.008238608500752,0.0,0.12152314519446551
2024-07-01~2025-01-01,smc_loose,1.1,0.002,-11.625859,0.0971,309,-13.25523245981763,0.0,0.11783355807189275
2024-07-01~2025-01-01,smc_loose,1.1,0.003,-18.578975,0.0718,418,-15.834039009987569,0.0,0.07729193093080286
2024-07-01~2025-01-01,smc_loose,1.1,0.004,-15.760722,0.0873,401,-14.188175173384373,0.0,0.09088555779029968
2024-07-01~2025-01-01,smc_loose,1.1,0.005,-15.551542,0.0875,400,-14.053736004988775,0.0,0.09186790982052254
2024-07-01~2025-01-01,smc_loose,1.15,0.002,-17.524161,0.072,250,-16.621161387055547,0.0,0.06656153951333463
2024-07-01~2025-01-01,smc_loose,1.15,0.003,-23.360655,0.059,322,-17.497399979308597,0.0,0.051192618981222
2024-07-01~2025-01-01,smc_loose,1.15,0.004,-19.905013,0.0689,305,-15.829351118794982,0.0,0.06014280251002138
2024-07-01~2025-01-01,smc_loose,1.15,0.005,-20.964086,0.0661,333,-15.484669997344085,0.0,0.05718253597830264
2024-07-01~2025-01-01,smc_loose,1.2,0.002,-17.813029,0.0787,216,-15.222675120339586,0.0,0.0546079590733517
2024-07-01~2025-01-01,smc_loose,1.2,0.003,-32.301184,0.0423,307,-19.415500514990136,0.0,0.03094712072154556
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-28.886597,0.0471,297,-17.921008795600358,0.0,0.034850962649444234
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-28.68974,0.0473,296,-17.860882052434317,0.0,0.03508170676038411
2025-01-01~2025-07-01,smc,1.05,0.002,-0.561213,0.2353,51,-6.211376352422684,0.0,0.42967751705183493
2025-01-01~2025-07-01,smc,1.05,0.003,-0.561213,0.2353,51,-6.211376352422684,0.0,0.42967751705183493
2025-01-01~2025-07-01,smc,1.05,0.004,-0.561213,0.2353,51,-6.211376352422684,0.0,0.42967751705183493
2025-01-01~2025-07-01,smc,1.05,0.005,-0.561213,0.2353,51,-6.211376352422684,0.0,0.42967751705183493
2025-01-01~2025-07-01,smc,1.1,0.002,-1.22887,0.2041,49,-7.9982570461657705,0.0,0.29926385617849005
2025-01-01~2025-07-01,smc,1.1,0.003,-1.22887,0.2041,49,-7.9982570461657705,0.0,0.29926385617849005
2025-01-01~2025-07-01,smc,1.1,0.004,-1.22887,0.2041,49,-7.9982570461657705,0.0,0.29926385617849005
2025-01-01~2025-07-01,smc,1.1,0.005,-1.22887,0.2041,49,-7.9982570461657705,0.0,0.29926385617849005
2025-01-01~2025-07-01,smc,1.15,0.002,-2.084087,0.1522,46,-11.433465813089654,0.0,0.11762314965292589
2025-01-01~2025-07-01,smc,1.15,0.003,-2.084087,0.1522,46,-11.433465813089654,0.0,0.11762314965292589
2025-01-01~2025-07-01,smc,1.15,0.004,-2.084087,0.1522,46,-11.433465813089654,0.0,0.11762314965292589
2025-01-01~2025-07-01,smc,1.15,0.005,-2.084087,0.1522,46,-11.433465813089654,0.0,0.11762314965292589
2025-01-01~2025-07-01,smc,1.2,0.002,-2.734087,0.1522,46,-11.309890628073985,0.0,0.10706232316717802
2025-01-01~2025-07-01,smc,1.2,0.003,-2.734087,0.1522,46,-11.309890628073985,0.0,0.10706232316717802
2025-01-01~2025-07-01,smc,1.2,0.004,-2.734087,0.1522,46,-11.309890628073985,0.0,0.10706232316717802
2025-01-01~2025-07-01,smc,1.2,0.005,-2.734087,0.1522,46,-11.309890628073985,0.0,0.10706232316717802
2025-01-01~2025-07-01,smc_loose,1.05,0.002,-16.228906,0.14,807,-13.409520076658927,332.26440158131476,0.15386086074291747
2025-01-01~2025-07-01,smc_loose,1.05,0.003,-17.544983,0.1316,874,-13.68389559839749,359.557818470317,0.14123182201576157
2025-01-01~2025-07-01,smc_loose,1.05,0.004,-17.43587,0.1333,878,-13.593039109482804,356.83407347749215,0.14258871601804618
2025-01-01~2025-07-01,smc_loose,1.05,0.005,-15.809931,0.1402,849,-12.687941632691413,323.65165735909306,0.1623434337871722
2025-01-01~2025-07-01,smc_loose,1.1,0.002,-17.779816,0.1239,444,-14.267114266273419,181.80514409354532,0.0993465041970103
2025-01-01~2025-07-01,smc_loose,1.1,0.003,-16.9693,0.1147,462,-13.363491182601884,173.46961381717603,0.10438675947185178
2025-01-01~2025-07-01,smc_loose,1.1,0.004,-16.307227,0.1211,454,-12.979162254275998,166.81081477688195,0.1132621753881826
2025-01-01~2025-07-01,smc_loose,1.1,0.005,-15.287189,0.1247,441,-12.677807190297644,155.4871899998989,0.1160018725293408
2025-01-01~2025-07-01,smc_loose,1.15,0.002,-20.126016,0.1061,358,-13.763799105651714,0.0,0.0807750763177835
2025-01-01~2025-07-01,smc_loose,1.15,0.003,-21.401919,0.1065,385,-13.725649472409973,0.0,0.07733772508354324
2025-01-01~2025-07-01,smc_loose,1.15,0.004,-19.996734,0.1057,369,-13.391713093759366,0.0,0.08332919501152598
2025-01-01~2025-07-01,smc_loose,1.15,0.005,-17.035046,0.1091,339,-12.54563301752624,0.0,0.09598170195378566
2025-01-01~2025-07-01,smc_loose,1.2,0.002,-13.007539,0.1105,172,-14.489969938844073,0.0,0.05024997002702027
2025-01-01~2025-07-01,smc_loose,1.2,0.003,-13.895862,0.0938,192,-14.086101175325902,0.0,0.04728079467821629
2025-01-01~2025-07-01,smc_loose,1.2,0.004,-12.962135,0.0947,190,-13.205628923932153,0.0,0.06397546250505752
2025-01-01~2025-07-01,smc_loose,1.2,0.005,-10.90672,0.0977,174,-12.310180578417505,0.0,0.07510995378098713
2025-07-01~2026-01-01,smc,1.05,0.002,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.003,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.004,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.005,-0.102,0.0,2,-1.3209523122974076e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.002,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.003,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.004,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.005,-0.202,0.0,2,-9.831789357151256e+16,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.002,-0.302,0.0,2,-2.8827133867604184e+16,0.0,0.0
